Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Rank_GDP_2023,GDP_Growth_Rate_2013_2023,Rank_GDP_Growth_Rate_2013_2023
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,704751700.3,764629788.1,826239211.8,917608012.5,894153311.4,974644096.1,1096425608.0,1238035816.0,1425706091.0,1659893768.0,1920574150.0,2263785444.0,2721440981.0,3696213333.0,5221534956.0,5633673930.0,6327077974.0,6618585074.0,7517176355.0,9296921724.0,11896256783.0,14175228844.0,16084252378.0,17784112150.0,19749361098.0,19156532746.0,18586746057.0,20919215578.0,25371462488.0,30465364739.0,36144336769.0,45466164978.0,52131320033.0,60603815716.0,73688724431.0,87812540788.0,96293086513.0,100124000000.0,85728207782.0,86286849755.0,96076539926.0,89793790670.0,92538372870.0,97646401096.0,115034000000.0,127808000000.0,148627000000.0,180942000000.0,193617000000.0,194150000000.0,239808000000.0,279356000000.0,295093000000.0,307576000000.0,314864000000.0,307999000000.0,319054000000.0,343257000000.0,376893000000.0,376902000000.0,349488000000.0,434112000000.0,498475000000.0,501428000000.0,74,38.66,55
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,5536098606.0,5721995118.0,6133158805.0,6699741943.0,7340766741.0,5706251654.0,5917437956.0,6016017494.0,5228045647.0,5814357967.0,6495605619.0,7911136757.0,9567331065.0,12802281898.0,13940981798.0,12861983284.0,13604832424.0,15446825318.0,18530518395.0,20731243113.0,23244547385.0,24417617184.0,24164603059.0,24309279706.0,21665975319.0,24679795396.0,30604668357.0,40376354070.0,45176811594.0,43920222525.0,45495129385.0,42745329732.0,41649829860.0,46775620817.0,55314732279.0,63918703507.0,70140835299.0,66075143415.0,56227169851.0,58762260626.0,52623281957.0,53872425917.0,66627729311.0,88250885550.0,103905000000.0,114720000000.0,111539000000.0,137189000000.0,133131000000.0,121374000000.0,146518000000.0,168295000000.0,176211000000.0,190910000000.0,201338000000.0,178104000000.0,188898000000.0,206567000000.0,211847000000.0,212847000000.0,212698000000.0,253644000000.0,246734000000.0,252176000000.0,96,24.2949,133
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18607682977.0,19684003149.0,19923683188.0,21540963447.0,23801123808.0,25977284156.0,27308964369.0,30442724871.0,32714085234.0,36684485870.0,41334726614.0,45217767235.0,52042056075.0,63833440102.0,88965364775.0,97304383449.0,105061000000.0,110352000000.0,118493000000.0,134901000000.0,149988000000.0,176895000000.0,194042000000.0,177267000000.0,193525000000.0,180643000000.0,182481000000.0,189496000000.0,236161000000.0,299876000000.0,311427000000.0,325975000000.0,325525000000.0,312134000000.0,322807000000.0,368166000000.0,401342000000.0,435643000000.0,399674000000.0,389652000000.0,416168000000.0,379629000000.0,395789000000.0,467739000000.0,614660000000.0,695693000000.0,748418000000.0,855007000000.0,1056110000000.0,928762000000.0,1148840000000.0,1398610000000.0,1547530000000.0,1577120000000.0,1468270000000.0,1351300000000.0,1206840000000.0,1325580000000.0,1427810000000.0,1392720000000.0,1328410000000.0,1556740000000.0,1690860000000.0,1728060000000.0,48,8.7347,197
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,47419238274.0,57266758180.0,64987857542.0,74379284603.0,87490590818.0,97338107606.0,113047000000.0,132476000000.0,156897000000.0,184299000000.0,217224000000.0,245364000000.0,324934000000.0,441461000000.0,490036000000.0,532861000000.0,598884000000.0,737069000000.0,1035610000000.0,1077910000000.0,1129380000000.0,1245220000000.0,1158730000000.0,1270860000000.0,1345820000000.0,1427020000000.0,2120080000000.0,2580750000000.0,3125720000000.0,3109460000000.0,3185900000000.0,3648070000000.0,3980700000000.0,4536940000000.0,4998800000000.0,5545560000000.0,4923390000000.0,4492450000000.0,4098360000000.0,4635980000000.0,4968360000000.0,4374710000000.0,4182850000000.0,4519560000000.0,4893120000000.0,4831470000000.0,4601660000000.0,4579750000000.0,5106680000000.0,5289490000000.0,5759070000000.0,6233150000000.0,6272360000000.0,5212330000000.0,4896990000000.0,4444930000000.0,5003680000000.0,4930840000000.0,5040880000000.0,5117990000000.0,5055590000000.0,5034620000000.0,4256410000000.0,4204490000000.0,30,-23.9706,237
